file,module,ruleId,ruleFamily,severity,count,autoFixability,lines,sampleMessages
"src/components/CelebrationOverlay.tsx","src/components","react-hooks/purity","react-hooks","error","8","no","228:24, 230:26, 231:27, 234:34, 235:43, 410:46, 440:28, 446:39","Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/CelebrationOverlay.tsx:228:24 226 | {Array.from({ length: 30 }, (_, i) => ( 227 | <div key={i} className=""absolute celeb-confetti-fall"" style={{ > 228 | left: `${Math.random() * 100}%`, | ^^^^^^^^^^^^^ Cannot call impure function 229 | top: '-5%', 230 | width: 4 + Math.random() * 5, 231 | height: 3 + Math.random() * 3, | Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/CelebrationOverlay.tsx:230:26 228 | left: `${Math.random() * 100}%`, 229 | top: '-5%', > 230 | width: 4 + Math.random() * 5, | ^^^^^^^^^^^^^ Cannot call impure function 231 | height: 3 + Math.random() * 3, 232 | backgroundColor: ['#fbbf24', '#f472b6', '#a78bfa', '#34d399', '#ef4444', '#3b82f6'][i % 6], 233 | borderRadius: '1px', | Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/CelebrationOverlay.tsx:231:27 229 | top: '-5%', 230 | width: 4 + Math.random() * 5, > 231 | height: 3 + Math.random() * 3, | ^^^^^^^^^^^^^ Cannot call impure function 232 | backgroundColor: ['#fbbf24', '#f472b6', '#a78bfa', '#34d399', '#ef4444', '#3b82f6'][i % 6], 233 | borderRadius: '1px', 234 | animationDelay: `${Math.random() * 2}s`,"
"e2e/debug-toolbar.spec.ts","e2e","@typescript-eslint/no-explicit-any","@typescript-eslint","error","7","no","124:18, 125:18, 126:18, 140:45, 146:66, 147:66, 148:66","Unexpected any. Specify a different type. | Unexpected any. Specify a different type. | Unexpected any. Specify a different type."
"src/components/AchievementCelebration.tsx","src/components","react-hooks/purity","react-hooks","error","6","no","55:16, 56:16, 57:17, 58:20, 59:14, 60:18","Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/AchievementCelebration.tsx:55:16 53 | Array.from({ length: 20 }, (_, i) => ({ 54 | id: i, > 55 | x: 50 + (Math.random() - 0.5) * 60, | ^^^^^^^^^^^^^ Cannot call impure function 56 | y: 40 + (Math.random() - 0.5) * 40, 57 | size: 2 + Math.random() * 4, 58 | delay: 0.3 + Math.random() * 0.8, | Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/AchievementCelebration.tsx:56:16 54 | id: i, 55 | x: 50 + (Math.random() - 0.5) * 60, > 56 | y: 40 + (Math.random() - 0.5) * 40, | ^^^^^^^^^^^^^ Cannot call impure function 57 | size: 2 + Math.random() * 4, 58 | delay: 0.3 + Math.random() * 0.8, 59 | angle: Math.random() * 360, | Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/AchievementCelebration.tsx:57:17 55 | x: 50 + (Math.random() - 0.5) * 60, 56 | y: 40 + (Math.random() - 0.5) * 40, > 57 | size: 2 + Math.random() * 4, | ^^^^^^^^^^^^^ Cannot call impure function 58 | delay: 0.3 + Math.random() * 0.8, 59 | angle: Math.random() * 360, 60 | dist: 40 + Math.random() * 60,"
"src/App.tsx","src/App.tsx","react-hooks/exhaustive-deps","react-hooks","warning","5","no","1235:6, 1292:6, 1393:6, 1481:6, 1526:6","React Hook useCallback has a missing dependency: 'settings.ambienceMixer'. Either include it or remove the dependency array. | React Hook useCallback has a missing dependency: 'settings.ambienceMixer'. Either include it or remove the dependency array. | React Hook useCallback has a missing dependency: 'settings.ambienceMixer'. Either include it or remove the dependency array."
"src/components/GeneLabPage.tsx","src/components","react-hooks/set-state-in-effect","react-hooks","error","5","no","172:5, 178:5, 194:5, 200:7, 264:5","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/GeneLabPage.tsx:172:5 170 | if (selectedGalaxyId === null) return; 171 | if ((fragmentCounts.get(selectedGalaxyId) ?? 0) > 0) return; > 172 | setSelectedGalaxyId(null); | ^^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 173 | }, [fragmentCounts, selectedGalaxyId]); 174 | 175 | useEffect(() => { | Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/GeneLabPage.tsx:178:5 176 | if (selectedQuality === null) return; 177 | if (seeds[selectedQuality] > 0) return; > 178 | setSelectedQuality(null); | ^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 179 | }, [seeds, selectedQuality]); 180 | 181 | useEffect(() => { | Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/GeneLabPage.tsx:194:5 192 | if (selectedFusionGalaxy1 === null) return; 193 | if (bestFragmentByGalaxy.has(selectedFusionGalaxy1)) return; > 194 | setSelectedFusionGalaxy1(null); | ^^^^^^^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 195 | }, [bestFragmentByGalaxy, selectedFusionGalaxy1]); 196 | 197 | useEffect(() => {"
"src/components/FarmPage.tsx","src/components","react-hooks/set-state-in-effect","react-hooks","error","3","no","165:9, 224:7, 706:7","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/FarmPage.tsx:165:9 163 | ) { 164 | revealedRef.current.add(plot.id); > 165 | setRevealAnim({ varietyId: plot.varietyId, plotId: plot.id }); | ^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 166 | const rarityStars = RARITY_STARS[VARIETY_DEFS[plot.varietyId].rarity]; 167 | const revealDuration = rarityStars >= REVEAL_RARE_PLUS_MIN_STARS 168 | ? REVEAL_DURATION_RARE_PLUS_MS | Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/FarmPage.tsx:224:7 222 | useEffect(() => { 223 | if (activeTooltipPlotId !== null && !activeGrowingPlot) { > 224 | setActiveTooltipPlotId(null); | ^^^^^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 225 | } 226 | }, [activeTooltipPlotId, activeGrowingPlot]); 227 | | Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/components/FarmPage.tsx:706:7 704 | const previousState = previousPlotStateRef.current; 705 | if (previousState === 'empty' && plot.state === 'growing') { > 706 | setIsPlantFxActive(true); | ^^^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect 707 | if (plantFxTimerRef.current !== null) { 708 | window.clearTimeout(plantFxTimerRef.current); 709 | }"
"src/components/AmbienceMixerModal.tsx","src/components","react-hooks/refs","react-hooks","error","2","no","29:3, 31:3","Error: Cannot access refs during render React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef). /tmp/cosmelon-issue24/src/components/AmbienceMixerModal.tsx:29:3 27 | // Track latest config via ref so cleanup can access it 28 | const localRef = useRef(local); > 29 | localRef.current = local; | ^^^^^^^^^^^^^^^^ Cannot update ref during render 30 | const keepOnCloseRef = useRef(keepOnClose); 31 | keepOnCloseRef.current = keepOnClose; 32 | | Error: Cannot access refs during render React refs are values that are not needed for rendering. Refs should only be accessed outside of render, such as in event handlers or effects. Accessing a ref value (the `current` property) during render can cause your component not to update as expected (https://react.dev/reference/react/useRef). /tmp/cosmelon-issue24/src/components/AmbienceMixerModal.tsx:31:3 29 | localRef.current = local; 30 | const keepOnCloseRef = useRef(keepOnClose); > 31 | keepOnCloseRef.current = keepOnClose; | ^^^^^^^^^^^^^^^^^^^^^^ Cannot update ref during render 32 | 33 | // Enter preview mode on mount, exit on unmount 34 | useEffect(() => {"
"src/components/farm/SkyLayer.tsx","src/components","react-hooks/purity","react-hooks","error","2","no","45:18, 46:17","Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/farm/SkyLayer.tsx:45:18 43 | const cloudPositions = useMemo<CelestialPosition[]>( 44 | () => Array.from({ length: cloudCount }, () => ({ > 45 | x: `${10 + Math.random() * 80}%`, | ^^^^^^^^^^^^^ Cannot call impure function 46 | y: `${5 + Math.random() * 30}%`, 47 | })), 48 | [cloudCount], | Error: Cannot call impure function during render `Math.random` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent). /tmp/cosmelon-issue24/src/components/farm/SkyLayer.tsx:46:17 44 | () => Array.from({ length: cloudCount }, () => ({ 45 | x: `${10 + Math.random() * 80}%`, > 46 | y: `${5 + Math.random() * 30}%`, | ^^^^^^^^^^^^^ Cannot call impure function 47 | })), 48 | [cloudCount], 49 | );"
"src/components/FarmPage.tsx","src/components","@typescript-eslint/no-unused-vars","@typescript-eslint","error","2","no","131:25, 664:43","'_mutationDoctorSignal' is defined but never used. | '_weather' is defined but never used."
"src/hooks/useTimer.ts","src/hooks","react-hooks/set-state-in-effect","react-hooks","error","2","no","84:7, 121:13","Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/hooks/useTimer.ts:84:7 82 | useEffect(() => { 83 | if (status === 'idle') { > 84 | setTimeLeft(getDuration(phase, settings)); | ^^^^^^^^^^^ Avoid calling setState() directly within an effect 85 | setOvertimeSeconds(0); 86 | } 87 | }, [settings, status, phase]); | Error: Calling setState synchronously within an effect can trigger cascading renders Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following: * Update external systems with the latest state from React. * Subscribe for updates from some external system, calling setState in a callback function when external state changes. Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect). /tmp/cosmelon-issue24/src/hooks/useTimer.ts:121:13 119 | // >25min: enter overtime mode, don't auto-complete 120 | if (s.workMinutes > 25) { > 121 | setPhase('overtime'); | ^^^^^^^^ Avoid calling setState() directly within an effect 122 | setOvertimeSeconds(0); 123 | setGeneration((g) => g + 1); // restart interval for count-up 124 | return;"
